日期,路口号+车道号,日流量,小时流量,小时流量*4/3,小时流量*2
2024-10-20,ES,1590,66,88,132
2024-10-20,EW,4275,178,237,356
2024-10-20,NE,860,35,47,71
2024-10-20,NS,5999,249,333,499
2024-10-20,SN,5723,238,317,476
2024-10-20,SW,6108,254,339,509
2024-10-20,WE,9211,383,511,767
2024-10-20,WN,2389,99,132,199
2024-10-21,ES,2003,83,111,166
2024-10-21,EW,4435,184,246,369
2024-10-21,NE,909,37,50,75
2024-10-21,NS,6360,265,353,530
2024-10-21,SN,6265,261,348,522
2024-10-21,SW,5513,229,306,459
2024-10-21,WE,9208,383,511,767
2024-10-21,WN,2686,111,149,223
